Brand,Model,ISOFIX Base Required,ISOFIX Base,Type,Group,Child weight,Child Height,i-Size compliant,Swivel,Direction of travel,Forward facing,Rear-facing,Sideways,ISOFIX,Image URL,ERF,Advanced SIP,Travel system,Seat Weight [kg],Width [mm],Height [mm],Depth [mm],Angle,Mamas&Papas,UberKids,Amazon,Kiddies Kingdom,Manual,2nd Manual,3rd Manual,4th Manual,Video Instruction,2nd Video Instruction,Car Fitting List,ADAC Ranking,TCS Ranking,OAMTC Ranking,Which? Ranking,RRP,UK Availability,Price Range,Expiry [Years],Origin,Brand logo,Brand website,Awards,Fabrics,Patent claims,UV Canopy,Swedish Plus Test,Aircraft Approved
Babyzen,iZi Go Modular by BeSafe,No,,Infant Car Seat,0+,0 - 13 kgs,40 - 80 cm,Yes,No,Rear-facing,No,Yes,No,Both,https://media.mamasandpapas.com/i/mamasandpapas/596825301_Babyzen-Izigo-Modular-Car-Seat_Black_1/Travel/by+brand/Babyzen?$pdpimagedesktop$,No,Yes,,3.9,340,720,440,,https://www.awin1.com/cread.php?awinmid=6526&awinaffid=560807&clickref=M%26P_CS_generic&p=https%3A%2F%2Fwww.mamasandpapas.com%2Fen-gb%2Fc%2Fcar-seats,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_Babyzen_besafeizi_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fbabyzen-besafe-izi-go-modular-group-0-car-seat-1299528%2F,,,,,,,,,,,,,,240.00,Yes,Between 100 and 300,,France,https://www.babyzen.com/images/accueil/babyzen-logo.png,,,,,50+ UPF,No,No
BebeCar,BobobFix RF,No,,Infant/Toddler Car Seat,0+/1,0 - 18 kgs,,No,No,Rear-facing & forward facing,Yes,Yes,No,Yes,https://www.bebecar.com/ficheiros/jpg/bbc/seguranca-auto/bobob/2017/m402.jpg,Yes,No,,,,,,,,,,,http://files.grupobebecar.com/pdf/bbc/instr/bobobfix.pdf,,,,,,,,,,,0.00,No,Under 100,,Portugal,https://s3.amazonaws.com/ctm-tm/016456361.JPG,,,,,No,No,No
BebeCar,Easymaxi Basic ELx,No,,Infant Car Seat,0+,0 - 13 kgs,,No,No,Rear-facing,No,Yes,No,No,https://www.bebecar.com/ficheiros/jpg/bbc/seguranca-auto/easymaxi-basic/2017/ki701.jpg,No,No,,,,,,,,,,,,,,,,,,,,,,0.00,No,Under 100,,Portugal,https://s3.amazonaws.com/ctm-tm/016456361.JPG,,,,,No,No,No
BebeCar,Easymaxi ELx,No,,Infant Car Seat,0+,0 - 13 kgs,,No,No,Rear-facing,No,Yes,No,Both,https://www.bebecar.com/ficheiros/jpg/bbc/seguranca-auto/easymaxi/2017/pp798.jpg,No,No,,4,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_BebeCar_EasyMaxiElxe_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fbebecar-easymaxi-elxe-group-0-infant-carrier-bebcsx364%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Bebecar_all_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F94_bebecar%2F15340-bebecar-car-seats%23%2F,http://files.grupobebecar.com/pdf/bbc/instr/easymaxiel.pdf,,,,,,,Satisfactory,,,,155.00,Yes,Between 100 and 300,,Portugal,https://s3.amazonaws.com/ctm-tm/016456361.JPG,,,,,No,No,No
BebeCar,MultibobFix,No,,Child Car Seat,2/3,15 - 36 kgs,,No,No,Forward facing,Yes,No,No,Yes,https://www.bebecar.com/ficheiros/jpg/bbc/seguranca-auto/multibob/2017/m402.jpg,No,No,,,,,,,,,,,http://files.grupobebecar.com/pdf/bbc/instr/multibobfix.pdf,,,,,,,,,,,0.00,No,Under 100,,Portugal,https://s3.amazonaws.com/ctm-tm/016456361.JPG,,,,,No,No,No
BebeCar,Spinner,No,,Infant/Toddler Car Seat,0+/1,0 - 18 kgs,40 - 105 cm,Yes,Yes,Rear-facing & forward facing,Yes,Yes,No,Yes,https://www.bebecar.com/ficheiros/jpg/bbc/seguranca-auto/spinner/2018/grey.jpg,Yes,No,,,,,,,,,,,,,,,,,,,,,,0.00,No,Under 100,,Portugal,https://s3.amazonaws.com/ctm-tm/016456361.JPG,,,,,No,No,No
BeSafe,iZi Combi X4 ISOfix,No,,Infant/Toddler Car Seat,0+/1,0 - 18 kgs,,No,No,Rear-facing & forward facing,Yes,Yes,No,Both,https://www.carseat.co.uk/wp-content/uploads/2018/06/539050_BeSafe_iZi-Combi-X4-ISOfix_Premium-Car-Interior-Black-1-600x600.jpg,Yes,Yes,,,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_BeSafe_all_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fcar-seats%2Fcar-seats%2Fshop-by%2Fbrand%2F1161%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Besafe_group1_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F106_besafe%2F2594-besafe-group-1-car-seats,https://www.carseat.co.uk/wp-content/uploads/2015/08/BeSafe-iZi-Combi-X4-ISOfix-GB.pdf,,,,https://vimeo.com/117999118,,https://www.carseat.co.uk/wp-content/uploads/2018/05/BeSafe-iZi-Combi-ISOfix-car-list-2018-04-05.pdf,,,,,379.99,Yes,300 and up,,Sweden,https://www.besafe.com/wp-content/uploads/2015/08/About-besafe_logo.jpg,,,,,No,No,No
BeSafe,iZi Comfort X3,No,,Toddler Car Seat,1,9 - 18 kgs,,No,No,Forward facing,Yes,No,No,No,https://www.carseat.co.uk/wp-content/uploads/2015/08/528164_iZi_Comfort_X3_Black_Cab.jpg,No,No,,,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_BeSafe_all_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fcar-seats%2Fcar-seats%2Fshop-by%2Fbrand%2F1161%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Besafe_group1_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F106_besafe%2F2594-besafe-group-1-car-seats,https://www.besafe.com/wp-content/uploads/2015/08/BeSafe-iZi-Comfort-X3-GB.pdf,,,,https://player.vimeo.com/video/33781561,,,,,,,199.99,Yes,Between 100 and 300,,Sweden,https://www.besafe.com/wp-content/uploads/2015/08/About-besafe_logo.jpg,,,,,No,No,No
BeSafe,iZi Comfort X3 ISOfix,No,,Toddler Car Seat,1,9 - 18 kgs,,No,No,Forward facing,Yes,No,No,Both,https://www.carseat.co.uk/wp-content/uploads/2015/08/528164_iZi_Comfort_X3_ISOfix_Fresh_Black_Cab.jpg,No,No,,,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_BeSafe_all_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fcar-seats%2Fcar-seats%2Fshop-by%2Fbrand%2F1161%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Besafe_group1_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F106_besafe%2F2594-besafe-group-1-car-seats,https://www.besafe.com/wp-content/uploads/2015/08/BeSafe-Comfort-ISOfix-GB.pdf,,,,https://player.vimeo.com/video/33780710,,https://www.besafe.com/wp-content/uploads/2018/05/BeSafe-iZi-Comfort-ISOfix-car-list-2018-04-05.pdf,Good,,,,299.99,Yes,Between 100 and 300,,Sweden,https://www.besafe.com/wp-content/uploads/2015/08/About-besafe_logo.jpg,,,,,No,No,No
BeSafe,iZi Flex Fix i-Size,No,,Child Car Seat,2/3,15 - 36 kgs,100 - 150 cm,Yes,No,Forward facing,Yes,No,No,Both,https://www.carseat.co.uk/wp-content/uploads/2018/06/518050_BeSafe_iZi-Flex-FIX-i-Size_Premium-Car-Interior-Black-600x600.jpg,No,No,,7,,,,,,https://www.awin1.com/cread.php?awinmid=6412&awinaffid=560807&clickref=UK_CS_BeSafe_IziFlexFix_allcolours&p=https%3A%2F%2Fwww.uberkids.com%2Fuk%2Fbesafe-izi-flex-fix-i-size-car-seat-2002318%2F,,https://www.awin1.com/cread.php?awinmid=2191&awinaffid=560807&clickref=KK_CS_Besafe_iziFlexFix_allcolours&p=https%3A%2F%2Fwww.kiddies-kingdom.com%2F106_besafe%2F15316-besafe-izi-flex-fix-i-size-car-seats,https://www.besafe.com/wp-content/uploads/2017/10/BeSafe-iZi-Flex-FIX-i-Size-user-manual-2018-01-12-web.pdf,,,,https://www.youtube.com/watch?v=Qn4PBjkNApY,,,Good,,4 stars,,269.99,Yes,Between 100 and 300,,Sweden,https://www.besafe.com/wp-content/uploads/2015/08/About-besafe_logo.jpg,,,,,No,No,No
